id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
1,AKIVA,2,0,0,max_eval,NaN,0.5978000164031982,124,NaN,0.0,50001,50252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,ALLINITU,4,0,0,first_order,5.744384910323413,0.0072820186614990234,101,7.852813609265035e-6,0.0,4096,2463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,ARGLINA,200,0,0,first_order,200.0000000001862,0.01410818099975586,1,2.697398208816592e-5,0.0,53,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,ARGLINB,200,0,0,first_order,99.62546951589596,0.23091387748718262,4,17626.402843249743,0.0,497,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,ARGLINC,200,0,0,first_order,101.12547063014658,0.3030850887298584,4,5108.630041024084,0.0,497,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,ARGTRIGLS,200,0,0,max_time,0.0022140421743570226,10.006752967834473,657,1.1661426914859463,0.0,24328,13622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,BA-L1LS,57,0,0,first_order,3.274029605535946e-8,0.2154080867767334,136,0.33635589204328314,0.0,4836,2691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,BA-L1SPLS,57,0,0,first_order,6.694579322072102e-8,0.46857213973999023,166,0.5442820047358062,0.0,6369,3711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,BARD,3,0,0,max_eval,0.009693161666389963,0.11683320999145508,1357,0.005421311831584879,0.0,50030,27828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,BEALE,2,0,0,max_eval,1.762104980407674e-8,0.05914115905761719,1358,0.0001238857475127454,0.0,50029,27801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,BENNETT5LS,3,0,0,max_eval,NaN,1.3951828479766846,124,NaN,0.0,50001,50252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,BIGGS6,6,0,0,max_eval,0.05970105302093012,0.1724841594696045,1359,0.05567909350873597,0.0,50030,27809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,BOX3,3,0,0,max_eval,5.465196325988711e-7,0.12888813018798828,1359,4.5654355136438215e-5,0.0,50024,27804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,BOXBODLS,2,0,0,first_order,9771.499999990652,0.0009329319000244141,3,6.512067964390932e-8,0.0,460,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,BRKMCC,2,0,0,first_order,0.16904267919922733,0.0021898746490478516,41,3.287427639009756e-6,0.0,1828,1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,BROWNAL,200,0,0,first_order,1.2999316488272497e-6,0.09366893768310547,4,0.007392277658162441,0.0,489,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,BROWNBS,2,0,0,max_eval,1.4068346790967938e11,0.04189896583557129,1106,7.008957260364447e9,0.0,50041,26910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,BROWNDEN,4,0,0,first_order,85822.20198875226,0.09162592887878418,801,1.9127533824160208,0.0,29916,16681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,CERI651ALS,7,0,0,max_eval,393.37292158615764,1.0808629989624023,1097,238498.77000797808,0.0,50005,27057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,CERI651BLS,7,0,0,max_eval,370.0177646258079,1.1299269199371338,1347,30288.198807175228,0.0,50005,27972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,CERI651CLS,7,0,0,max_eval,83.63011664740301,0.9568080902099609,1098,146218.20172255032,0.0,50040,27077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,CERI651DLS,7,0,0,max_eval,23.470531459255714,1.2122790813446045,1345,37.5092203093601,0.0,50012,27981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,CERI651ELS,7,0,0,max_eval,26.624943434682763,1.1370511054992676,1098,1289.776292401378,0.0,50040,27077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,CHNROSNB,50,0,0,max_eval,22.04457856659726,0.3299131393432617,1359,6.823116826426829,0.0,50034,27812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,CHNRSNBM,50,0,0,max_eval,32.70200993579447,0.2970700263977051,1359,3.9177256808957233,0.0,50032,27806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,CHWIRUT1LS,3,0,0,first_order,315414.7930890908,0.05021309852600098,26,3.5655677391717755,0.0,1193,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,CHWIRUT2LS,3,0,0,first_order,90497.39306219165,0.009423017501831055,31,0.9913392520032971,0.0,1376,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,CLIFF,2,0,0,first_order,11396.391743805923,8.106231689453125e-5,1,2.1701146216033407,0.0,91,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,CLUSTERLS,2,0,0,first_order,1.5993238731477052e-9,0.0030510425567626953,76,3.197084002153897e-6,0.0,3031,1869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,COATING,134,0,0,max_eval,18.54119011312274,2.4694550037384033,1348,17.79543046377154,0.0,50022,27980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,COOLHANSLS,9,0,0,max_eval,0.05378765294353957,0.17221403121948242,1358,13.031598356743116,0.0,50009,27796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,CUBE,2,0,0,max_eval,0.015467146560226566,0.05282092094421387,1359,0.14336931514349446,0.0,50028,27805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
33,DANIWOODLS,2,0,0,first_order,103.917818,3.695487976074219e-5,1,9.102978144844748e-57,0.0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
34,DANWOODLS,2,0,0,max_eval,NaN,0.12449407577514648,124,NaN,0.0,50001,50252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,DENSCHNA,2,0,0,first_order,7.25457134952551e-11,0.00851297378540039,161,1.0840454832675127e-5,0.0,6158,3591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
36,DENSCHNB,2,0,0,first_order,5.652278434044251e-12,0.0017118453979492188,41,4.88363905577531e-6,0.0,1315,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,DENSCHNC,2,0,0,first_order,0.1833627265214504,0.01885700225830078,166,0.0013826294580245773,0.0,6379,3714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,DENSCHND,3,0,0,first_order,8.539362633884263,0.01350092887878418,286,24.53351682373224,0.0,10969,6233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
